iter	Passed	Remaining
327	29587	24535
328	29655	24427
329	29796	24379
330	29860	24267
331	30008	24223
332	30187	24204
333	30379	24194
334	30528	24149
335	30671	24099
336	30801	24037
337	30944	23986
338	31074	23924
339	31075	23763
340	31214	23708
341	31350	23650
342	31522	23618
343	31657	23558
344	31811	23512
345	31952	23456
346	32088	23396
347	32233	23341
348	32374	23283
349	32393	23138
350	32539	23083
351	32682	23026
352	32824	22967
353	32965	22907
354	33101	22844
355	33265	22799
356	33415	22744
357	33560	22686
358	33561	22530
359	33709	22473
360	33862	22418
361	34002	22354
362	34003	22200
363	34139	22134
364	34286	22075
365	34449	22025
366	34596	21964
367	34734	21897
368	34893	21843
369	35041	21782
370	35186	21718
371	35323	21649
372	35466	21584
373	35609	21518
374	35741	21445
375	35873	21371
376	36004	21297
377	36142	21226
378	36297	21165
379	36452	21104
380	36588	21031
381	36724	20957
382	36884	20897
383	36957	20788
384	37107	20722
385	37257	20655
386	37399	20583
387	37543	20513
388	37687	20442
389	37854	20383
390	37986	20304
391	38143	20239
392	38362	20206
393	38540	20150
394	38807	20140
395	39044	20113
396	39192	20040
397	39359	19976
398	39507	19902
399	39653	19826
400	39799	19750
401	39935	19669
402	40114	19609
403	40253	19529
404	40404	19453
405	40537	19370
406	40674	19288
407	40813	19206
408	40852	19077
409	40992	18996
410	41131	18914
411	41278	18835
412	41425	18756
413	41557	18670
414	41693	18586
415	41829	18501
416	41964	18415
417	42103	18332
418	42247	18250
419	42388	18166
420	42565	18097
421	42713	18016
422	42851	17930
423	42992	17845
424	43155	17769
425	43292	17683
426	43427	17594
427	43564	17507
428	43703	17420
429	43847	17335
430	43989	17248
431	44126	17160
432	44303	17086
433	44439	16997
434	44583	16910
435	44720	16821
436	44866	16735
437	45013	16648
438	45178	16569
439	45321	16480
440	45465	16392
441	45596	16299
442	45752	16214
443	45887	16122
444	46041	16037
445	46183	15946
446	46326	15856
447	46457	15762
448	46600	15671
449	46748	15582
450	46887	15490
451	47030	15399
452	47169	15306
453	47381	15237
454	47653	15186
455	47840	15107
456	48123	15058
457	48369	14996
458	48523	14905
459	48683	14816
460	48854	14730
461	48966	14626
462	49038	14510
463	49183	14415
464	49350	14327
465	49499	14233
466	49638	14136
467	49776	14039
468	49908	13940
469	50054	13844
470	50193	13747
471	50337	13650
472	50476	13552
473	50623	13456
474	50754	13356
475	50903	13260
476	51051	13164
477	51215	13071
478	51348	12971
479	51495	12873
480	51646	12777
481	51781	12676
482	51935	12580
483	52072	12480
484	52222	12382
485	52353	12280
486	52496	12180
487	52641	12081
488	52804	11986
489	52954	11887
490	53100	11788
491	53235	11685
492	53375	11584
493	53516	11483
494	53662	11382
495	53800	11280
496	53950	11180
497	54085	11077
498	54243	10979
499	54378	10875
500	54528	10775
501	54674	10673
502	54814	10570
503	54954	10467
504	55092	10363
505	55159	10246
506	55301	10144
507	55454	10042
508	55604	9941
509	55751	9838
510	55889	9734
511	56033	9630
512	56178	9527
513	56316	9422
514	56455	9317
515	56595	9213
516	56729	9107
517	56877	9003
518	57017	8898
519	57162	8794
520	57300	8688
521	57437	8582
522	57582	8477
523	57725	8372
524	57878	8268
525	58026	8163
526	58166	8057
527	58316	7952
528	58454	7845
529	58598	7739
530	58752	7634
531	58915	7530
532	59053	7423
533	59205	7317
534	59343	7209
535	59497	7104
536	59632	6995
537	59782	6889
538	59958	6785
539	60135	6681
540	60292	6575
541	60454	6469
542	60616	6363
543	60749	6253
544	60888	6144
545	61041	6037
546	61105	5920
547	61255	5812
548	61394	5703
549	61530	5593
550	61681	5485
551	61818	5375
552	61954	5265
553	62086	5155
554	62230	5045
555	62394	4937
556	62546	4828
557	62680	4717
558	62815	4607
559	62961	4497
560	63107	4387
561	63255	4277
562	63391	4166
563	63539	4055
564	63680	3944
565	63829	3834
566	63968	3723
567	64117	3612
568	64250	3500
569	64391	3389
570	64536	3277
571	64687	3166
572	64826	3054
573	64964	2942
574	65102	2830
575	65244	2718
576	65394	2606
577	65464	2491
578	65608	2379
579	65747	2267
580	65896	2154
581	66037	2042
582	66182	1929
583	66330	1817
584	66465	1704
585	66604	1591
586	66764	1478
587	66901	1365
588	67042	1252
589	67177	1138
590	67338	1025
591	67518	912
592	67702	799
593	67854	685
594	67991	571
595	68138	457
596	68280	343
597	68421	228
598	68560	114
599	68701	0
