property_id,title,price,price_per_sqft,bhk_count,super_area,floor,transaction,furnishing_status,bathroom_count,property_type,latitude,longitude,locality,dist_to_centre_km,dist_to_airport_km,dist_to_metro_km,accessibility_score,price_standard_scaled,price_per_sqft_standard_scaled,super_area_standard_scaled
20,"2 BHK Flat  for Sale in Chambenahalli, Bangalore",7950000.0,6850.0,2.0,1160.0,1.0,New Property,Unfurnished,2.0,apartment,12.91235,77.680996,Kaikondrahalli,-0.20602243472254034,-0.19305067159865977,1.015215233822327,0.4365,-0.11032245655135037,-0.05284905025936414,-0.4574096035018728
21,"2 BHK Flat  for Sale in Electronic City, Bangalore",7930000.0,6500.0,2.0,1220.0,5.0,New Property,Unfurnished,2.0,apartment,12.8339509,77.675366,Veer Sandra,-0.20030089235861276,-0.19180891691028268,-1.1137889591318417,0.6307,-0.11041397774545345,-0.05509134160851969,-0.42619404961133966
22,"2 BHK Flat  for Sale in CV Raman Nagar Kaggadasapura, Bangalore",13600000.000000002,11396.0,2.0,1199.0,1.0,New Property,Unfurnished,2.0,apartment,12.98074721,77.67940772,Kondappa Layout,-0.20770639985891143,-0.20382910229377302,-0.85949735180381,0.6119,-0.08446771921723296,-0.023724888907189476,-0.43711949347302625
23,"2 BHK Flat  for Sale in KHB Colony Yelahanka New Town, Bangalore",9710000.0,9827.0,2.0,653.0,1.0,New Property,Semi,2.0,apartment,13.095687621584345,77.542722,Bengaluru,-0.2078836593469505,-0.21565060692712304,1.015215233822327,0.4378,-0.10226859147028018,-0.03377676069811822,-0.7211810338768778
24,"2 BHK Flat  for Sale in Rachenahalli, Thanisandra, Bangalore",12500000.0,11161.0,2.0,900.0,4.0,New Property,Unfurnished,2.0,apartment,13.067769926777714,77.62286999694318,M.C.E.C.H.S. Layout 1st Phase,-0.20747990162419486,-0.2194454092548035,1.015215233822327,0.438,-0.08950138489290185,-0.025230427384479632,-0.5926770036941831
25,"2 BHK Flat  for Sale in M S Ramaiah Nagar, Bangalore",14800000.0,13429.0,2.0,1109.0,8.0,New Property,Unfurnished,2.0,apartment,13.030379821511014,77.56380340010497,AG's Layout,-0.21596866155139893,-0.21437905012622488,-0.835829518221331,0.6112,-0.07897644757104876,-0.010700379441951666,-0.48394282430882596
26,"2 BHK Flat  for Sale in Anjanapura, Bangalore",8420000.0,6838.0,2.0,774.0,1.0,New Property,Unfurnished,2.0,apartment,12.84819789,77.52157499,Bengaluru,-0.2007538888280459,-0.18630546013139537,-1.0455375320567857,0.6253,-0.10817170848992821,-0.05292592881990662,-0.6582296668643026
27,"2 BHK Flat  for Sale in Banaswadi, Bangalore",12800000.0,10500.0,2.0,1225.0,7.0,New Property,Unfurnished,2.0,apartment,13.009689331054688,77.6459732055664,Erappa Reddy Layout,-0.2107198111555755,-0.21068358817361463,-0.9514166124613453,0.62,-0.0881285669813558,-0.029465154761027686,-0.4235927534537952
28,"2 BHK Flat  for Sale in Carmelaram, Bangalore",12700000.0,9969.0,2.0,1279.0,8.0,New Property,Unfurnished,2.0,apartment,12.90535744,77.70477882,Carmelaram,-0.2026840476978046,-0.19403414131185445,1.015215233822327,0.4363,-0.08858617295187116,-0.03286703106503225,-0.3954987549523154
29,"2 BHK Flat  for Sale in Achappa Layout Shriniketh Layout, Bangalore",5600000.0,6364.0,2.0,650.0,4.0,New Property,Unfurnished,2.0,apartment,13.0744405,77.523687,Lakshmaiah Layout,-0.20774579085625344,-0.21028622667333396,-0.8914214064034331,0.6148,-0.12107619685846115,-0.05596263196133442,-0.7227418115714045
